text,cluster
Add Andy Hunter to my Evening Commute playlist.,AddToPlaylist
Show me movie times at the Pacific Theatres for the movie The Hot Rock,SearchScreeningEvent
What time is Return from Hell playing at the nearest movie house,SearchScreeningEvent
Find Once Upon a Time in the West,SearchCreativeWork
show nearest movie theatre to watch Black Jesus,SearchScreeningEvent
What's the weather in Niagara,GetWeather
Can you play Under The Anheuser Bush by Pete Doherty,PlayMusic
Restaurant in Durant for 3 PM,BookRestaurant
Play me a concerto by Jethro Burns from Zvooq,PlayMusic
when this evening is Casa Amor: Exclusive for Ladies playing and where,SearchScreeningEvent
I need a table at a czech pub at seven,BookRestaurant
In Bon Secour National Wildlife Refuge at twelve pm will it be chilly,GetWeather
Play my Futuros Hits playlist on Spotify.,PlayMusic
Is it overcast in Ziwa Rhino Sanctuary?,GetWeather
I want to see the trailer Amor Puro,SearchCreativeWork
want to see the trailer for The Prefect,SearchCreativeWork
rate Doctor No one of 6,RateBook
What will the weather be like 1 minute from now within the same area of my current location,GetWeather
Play Out From Under from Hurricane Chris,PlayMusic
Play prints in the stone by Helen Baylor,PlayMusic
play Richard Thompson from the thirties song book,PlayMusic
give Begums Thugs and White Mughals four points,RateBook
add a song by  mark schultz to my ultimate indie playlist,AddToPlaylist
add det kimer nu til julefest to my playlist technical&brutal death metal,AddToPlaylist
Will there be snowfall in zero PM in Estonia,GetWeather
Will there be snowfall faraway from Robinson Forest,GetWeather
edit Aux Cord Privileges playlist by putting this tune on it,AddToPlaylist
book a cafeteria for 5 in Turkmenistan,BookRestaurant
Book a reservation for six for a tyrolean oyster bar,BookRestaurant
find animated movies nearest at a movie house,SearchScreeningEvent
"What is the weather forecast for North Carolina on October thirteenth, 2037",GetWeather
play Women of Jazz,PlayMusic
Show the movie schedules at MJR Theatres,SearchScreeningEvent
Please play something on Last Fm,PlayMusic
add xiang xiang album to my Madden NFL 16,AddToPlaylist
Is there a storm in the weather forecast for Baraga Oregon,GetWeather
Put new page onto my latin jazz playlist.,AddToPlaylist
rate The Tom Thomson Mystery 1 stars,RateBook
play the top five songs by Gad Elbaz,PlayMusic
book a restaurant in Anguilla for one at National Coney Island,BookRestaurant
add this album to my All Out 70s playlist,AddToPlaylist
Book a restaurant in Delhi Arkansas for three people.,BookRestaurant
find a soundtrack for Meditations,SearchCreativeWork
What is the forecast for Lesotho for starting this Fall,GetWeather
Need a table within the same area as Beach 105th St for a party of 6,BookRestaurant
rate the current album 5 out of 6 points,RateBook
Can I get the weather forecast for Benin in 32 days?,GetWeather
Lets go to a steakhouse before we go to the pool,BookRestaurant
what movies are playing in the area?,SearchScreeningEvent
Give the current series a one.,RateBook
"Will it be colder this autumn in Wren, Saint Martin",GetWeather
Show weather forecast nearby Elk City State Park,GetWeather
I wish to put tom baxter onto my coffee table jazz playlist,AddToPlaylist
book Bridge Round House for one at meal time in Democratic Republic of the Congo close,BookRestaurant
Play my Jazz Brasileiro playlist,PlayMusic
Book a pub for eight people in the Pitcairn Islands.,BookRestaurant
this chronicle gets a three out of 6.,RateBook
Who published the novel JamesEdition?,SearchCreativeWork
Rate this chronicle a 3,RateBook
Can you put falling upstairs on my playlist entitled This Is Thomas Rhett,AddToPlaylist
Book a popular restaurant for two which is distant from Avalon.,BookRestaurant
Play a song from 2013.,PlayMusic
Give this book a rating of four out of 6.,RateBook
I want to see Fear Chamber.,SearchScreeningEvent
Show The Invisible Hook trailer,SearchCreativeWork
I think this essay is only good for one stars,RateBook
I need a reservation for a churrascaria in Oneonta Wyoming for a party of 4,BookRestaurant
Please add this track by Paul McGuigan to the Deep House playlist.,AddToPlaylist
rate The Sea of Trolls 1 stars out of 6,RateBook
I'd like to watch films in 23 hours in the neighborhood,SearchScreeningEvent
